Номер;Назавние;Рейтинг;Год;Страна;Жанр;Режисёр
577;Неудержимые 2;7.8*;2012;США;приключения, триллер;Саймон Уэст
578;Классный мюзикл: Выпускной;7.8*;2008;США;мелодрама, комедия;Кенни Ортега
579;Судья;7.8*;2014;США;драма;Дэвид Добкин
580;Крупная рыба;7.8*;2003;США;приключения, сказка;Тим Бертон
581;Легенда;7.8*;2015;Великобритания / Франция;триллер, драма;Брайан Хелгеленд
582;Монте-Карло;7.8*;2011;США;комедия;Томас Безуча
583;Отель «Белград»;7.8*;2020;Россия;комедия;Константин Статский
584;Конг: Остров черепа;7.8*;2017;США;приключения, боевик;Джордан Вот-Робертс
585;Сплит;7.8*;2016;США;триллер;М. Найт Шьямалан
586;8 подруг Оушена;7.8*;2017;США;криминал, комедия;Гэри Росс
587;Призрак оперы;7.8*;2004;США / Великобритания;драма, триллер;Джоэл Шумахер
588;Тайна 7 сестер;7.8*;2017;Великобритания;фантастика, триллер;Томми Виркола
589;Ван Хельсинг;7.8*;2004;США / Чехия;приключения, ужасы;Стивен Соммерс
590;Астерикс: Земля Богов;7.8*;2014;Франция;анимация, приключения;Александр Астье
591;Эдвард руки-ножницы;7.8*;1990;США;сказка, драма;Тим Бертон
592;Монстры на каникулах;7.8*;2012;США;комедия, анимация;Генндий Тартаковский
593;Гравитация;7.8*;2013;США / Великобритания;фантастика, триллер;Альфонсо Куарон
594;Игра Эндера;7.8*;2013;США;фантастика, приключения;Гэвин Худ
595;Сделка с дьяволом;7.8*;2006;США;ужасы, триллер;Ренни Харлин
596;Классный мюзикл;7.8*;2006;США;мелодрама, комедия;Кенни Ортега
597;Шевели ластами;7.8*;2009;Бельгия;анимация, приключения;Бен Стассен
598;Кошмар перед Рождеством;7.8*;1993;США;семейный, фэнтези;Генри Селик
599;Два дня;7.8*;2011;Россия;мелодрама;Авдотья Смирнова
600;Эверест. Достигая невозможного;7.8*;2013;Новая Зеландия;документальный, исторический;Лиэнн Пули
601;Приключения Реми;7.8*;2019;Франция;драма;Антуан Блоссер
602;Королевский роман;7.8*;2012;Дания / Швеция / Чехия;исторический, мелодрама;Николай Арсель
603;Чудаки 3D;7.7*;2010;США;документальный, комедия;Джефф Тремэйн
604;Бесконечная история;7.7*;1984;ФРГ / США;сказка, приключения;Вольфганг Петерсен
605;Тренер;7.7*;2018;Россия;спорт, драма;Данила Козловский
606;Падение ангела;7.7*;2019;США;боевик, триллер;Рик Роман Во
607;Сестренка;7.7*;2019;Россия;военный, драма;Александр Галибин
608;Омерзительная восьмерка;7.7*;2015;США;комедия, вестерн;Квентин Тарантино
609;Kingsman: Секретная служба;7.7*;2014;Великобритания;триллер;Мэттью Вон
610;Космос между нами;7.7*;2016;США;фантастика;Питер Челсом
611;Гарри Поттер и Принц-Полукровка;7.7*;2008;Великобритания / США;фэнтези, семейный;Дэвид Йейтс
612;Атлантида: затерянный мир;7.7*;2001;США;анимация, приключения;Керк Уайз
613;Пандорум;7.7*;2009;США / Германия;ужасы, фантастика;Кристиан Алверт
614;Труп невесты;7.7*;2005;США;анимация, сказка;Тим Бертон
615;Тепло наших тел;7.7*;2013;США;мелодрама, драма;Джонатан Ливайн
616;Книжный клуб;7.7*;2018;США;комедия;Билл Холдермэн
617;Шаг вперед;7.7*;2006;США;мелодрама, мюзикл;Энн Флетчер
618;Бой с тенью;7.7*;2005;Россия;боевик, драма;Алексей Сидоров
619;Тачки 2;7.7*;2011;США;анимация, комедия;Брэд Льюис
620;Удивительное путешествие Доктора Дулиттла;7.7*;2020;США;комедия;Стивен Гейган
621;Последняя песня;7.7*;2010;США;драма;Джули Энн Робинсон
622;Эверест;7.7*;2015;США / Великобритания;драма, приключения;Бальтасар Кормакур
623;127 часов;7.7*;2010;США / Великобритания;драма;Дэнни Бойл
624;Поиск;7.7*;2018;США;триллер;Аниш Чаганти
625;Красная шапочка;7.7*;2011;США;драма, триллер;Кэтрин Хардвик
626;Малыш на драйве;7.7*;2017;США / Великобритания;боевик, криминал;Эдгар Райт
627;Гадкий я 2;7.7*;2013;США;анимация, семейный;Пьер Коффин
628;Разбогатей или сдохни;7.7*;2005;США;драма, мюзикл;Джим Шеридан
629;Заколдованная Элла;7.7*;2004;США / Великобритания / Ирландия;сказка, мелодрама;Томми О'Хэйвер
630;Страна приливов;7.7*;2005;Канада / Великобритания;сказка, драма;Терри Гиллиам
631;Я шагаю по Москве;7.7*;1963;СССР;мелодрама, комедия;Георгий Данелия
632;Питер Пэн;7.7*;1953;США;сказка, анимация;Клайд Джероними
633;Василиса прекрасная;7.7*;1939;СССР;сказка, семейный;Александр Роу
634;Мирный воин;7.7*;2006;Германия / США;драма, мелодрама;Виктор Сальва
635;Безумно влюбленный;7.7*;1981;Италия;мелодрама, комедия;Франко Кастеллано
636;Мама;7.7*;2013;США;ужасы;Андрес Мускетти
637;Невозможное;7.7*;2012;США / Испания;боевик, драма;Хуан Антонио Байона
638;Транс;7.7*;2013;Великобритания;триллер, криминал;Дэнни Бойл
639;Как приручить дракона 2;7.7*;2014;США;комедия, фэнтези;Дин Деблуа
640;День независимости;7.7*;1996;США;боевик, фантастика;Роланд Эммерих
641;Клятва;7.7*;2011;США;мелодрама, драма;Майкл Сакси
642;Отель Мумбаи: Противостояние;7.7*;2018;Австрия;триллер, драма;Энтони Марас
643;Извините, мы вас не застали;7.7*;2019;Великобритания / Франция / Бельгия;драма;Кен Лоуч
644;Большое путешествие вглубь океанов 3D: Возвращение;7.7*;2009;Германия / Великобритания / Австрия;документальный;Ник Стрингер
645;Легенда острова Двид;7.7*;2010;Россия;приключения, семейный;Анарио Мамедов
646;Грех;7.7*;2018;Россия / Италия;драма, биография;Андрей Кончаловский
647;Дамбо;7.7*;2019;США;семейный, фэнтези;Тим Бертон
648;Скорость;7.7*;1994;США;триллер, криминал;Ян Де Бонт
649;Иллюзионист;7.7*;2009;Великобритания / Франция;анимация;Сильвен Шомэ
650;Старикам тут не место;7.7*;2007;США;драма, триллер;Итан Коэн
651;Бесславные ублюдки;7.7*;2009;Германия / США;драма, военный;Квентин Тарантино
652;Дюнкерк;7.7*;2017;США / Великобритания / Франция;драма, военный;Кристофер Нолан
653;Звездный путь;7.7*;2009;США;боевик, фантастика;Джей Джей Абрамс
654;Обитель зла;7.7*;2002;Германия / Франция / Великобритания;ужасы, боевик;Пол У. С. Андерсон
655;Ночные игры;7.7*;2018;США;комедия, детектив;Джон Фрэнсис Дейли
656;Боец;7.7*;2010;США;драма;Дэвид О. Расселл
657;Харлей Дэвидсон и ковбой Мальборо;7.7*;1991;США;триллер, боевик;Саймон Уинсер
658;LOL (ржунимагу);7.7*;2008;Франция;комедия;Лиза Азуэлос
659;У холмов есть глаза 2;7.7*;2007;США;ужасы;Мартин Вайс
660;Остин Пауэрс: Человек-загадка международного масштаба;7.7*;1997;Германия / США;приключения, комедия;Джей Роуч
661;Асса;7.7*;1987;СССР;исторический, мелодрама;Сергей Соловьев
662;Военно-полевой роман;7.7*;1983;СССР;мелодрама;Пётр Тодоровский
663;Винчестер. Дом, который построили призраки;7.7*;2018;США;мистика, триллер;Питер Спириг
664;Шпионский мост;7.7*;2015;США;драма, триллер;Стивен Спилберг
665;Зверопой;7.7*;2016;США;мюзикл, анимация;Гарт Дженнингс
666;Сайлент Хилл 2 3D;7.7*;2012;США / Франция;ужасы;Майкл Дж. Бассетт
667;Убежище;7.7*;2010;США;триллер, ужасы;Манс Марлинд
668;Человек-паук: Возвращение домой;7.7*;2017;США;боевик, фантастика;Джон Уоттс
669;Дом у озера;7.7*;2006;США;мелодрама, драма;Алехандро Агрести
670;Рассвет мертвецов;7.7*;2004;США;боевик, ужасы;Зак Снайдер
671;Красота по-американски;7.7*;1999;США;мелодрама;Сэм Мендес
672;Вселенная Стивена Хокинга;7.7*;2014;Великобритания;биография, драма;Джеймс Марш
673;Поп;7.7*;2010;Россия;драма;Владимир Хотиненко
674;Отпетые мошенницы;7.7*;2019;США;комедия;Крис Эддисон
675;Защитник;7.7*;2011;США;криминал;Боаз Якин
676;Страшно красив;7.7*;2010;США;мелодрама, ужасы;Даниел Барнз
677;Камера 211: Зона;7.7*;2009;Франция / Испания;боевик, драма;Даньель Монсон
678;Воин;7.7*;2011;США;драма, боевик;Гэвин О'Коннор
679;Шазам!;7.7*;2019;США;фантастика, фэнтези;Дэвид Ф. Сандберг
680;Орел Девятого легиона;7.7*;2010;США;драма;Кевин МакДональд
681;Ангелы и демоны;7.7*;2009;США;криминал, мистика;Рон Ховард
682;Великий Гэтсби;7.7*;2013;США;драма, исторический;Баз Лурманн
683;Убить Билла 2;7.7*;2004;США;боевик, драма;Квентин Тарантино
684;Васаби;7.7*;2001;Франция / Япония;приключения, криминал;Жерар Кравчик
685;Жена путешественника во времени;7.7*;2009;США;мелодрама, драма;Роберт Швентке
686;Неуправляемый;7.7*;2010;США;триллер, драма;Тони Скотт
687;Папе снова 17;7.7*;2008;США;комедия;Берр Стирс
688;Великий уравнитель;7.7*;2014;США;триллер, криминал;Антуан Фукуа
689;Между небом и землей;7.7*;2005;США;мелодрама, комедия;Марк Уотерс
690;Меня зовут Кхан;7.7*;2010;Индия;драма, мелодрама;Каран Джохар
691;Мой путь;7.7*;2012;Франция / Бельгия;мюзикл, биография;Флоран Эмилио Сири
692;Индиана Джонс: В поисках утраченного ковчега;7.7*;1981;США;приключения, триллер;Стивен Спилберг
693;Фантастические твари: Преступления Грин-де-Вальда;7.7*;2018;США;фэнтези;Дэвид Йейтс
694;Тарас Бульба;7.7*;2008;Россия;боевик, исторический;Владимир Бортко
695;Миссия невыполнима: Последствия;7.7*;2018;США;боевик, триллер;Кристофер МакКуорри
696;Дракула;7.7*;1992;США;ужасы, мелодрама;Фрэнсис Форд Коппола
697;С широко закрытыми глазами;7.7*;1999;США / Великобритания;драма, мистика;Стэнли Кубрик
698;Комиссар;7.7*;1967;СССР;драма, исторический;Александр Аскольдов
699;Хостел 2;7.7*;2007;США;ужасы;Элай Рот
700;Яркая звезда;7.7*;2009;Австралия / Великобритания / Франция;мелодрама, драма;Джейн Кэмпион
701;Добро пожаловать к людям;7.7*;2012;США;драма;Алекс Куртцман
702;Волк с Уолл-стрит;7.7*;2013;США;драма, криминал;Мартин Скорсезе
703;Чужой 4: Воскрешение;7.7*;1997;США;триллер, боевик;Жан-Пьер Жене
704;Ночная игра;7.7*;2016;Швейцария / Великобритания;триллер;Тобиас Вебер
705;Стиляги;7.7*;2008;Россия;комедия, мюзикл;Валерий Тодоровский
706;Город воров;7.7*;2010;США;драма, мелодрама;Бен Аффлек
707;Американский пирог: Все в сборе;7.7*;2012;США;комедия;Джон Харвитц
708;Оно 2;7.7*;2019;США;ужасы, триллер;Андрес Мускетти
709;Альфа;7.7*;2018;США;боевик, триллер;Альберт Хьюз
710;Гангстер;7.7*;2007;США;криминал, драма;Ридли Скотт
711;Убийство в Восточном экспрессе;7.7*;2017;США;детектив, триллер;Кеннет Брана
712;Поезд на Юму;7.7*;2007;США;вестерн;Джеймс Мэнголд
713;Коллекционер 2;7.7*;2012;США;ужасы;Маркус Данстен
714;Призрак в доспехах;7.7*;2017;США;криминал, драма;Руперт Сандерс
715;Великая стена;7.7*;2016;США;триллер, мистика;Чжан Имоу
716;Дело храбрых;7.7*;2017;США;драма, боевик;Джозеф Косински
717;Женщина в черном;7.7*;2012;Великобритания;триллер, ужасы;Джеймс Уоткинс
718;Шестое чувство;7.7*;1999;США;документальный, мистика;М. Найт Шьямалан
719;Облачно, возможны осадки в виде фрикаделек;7.7*;2009;США;семейный, анимация;Кристофер Миллер
720;Покемон. Детектив Пикачу;7.7*;2019;США;детектив, комедия;Роб Леттерман
721;Матильда;7.7*;2017;Россия;драма, биография;Алексей Учитель
722;Миссия Невыполнима: Протокол Фантом;7.7*;2011;США;боевик;Брэд Берд
723;Кредо убийцы;7.7*;2016;США;фантастика, боевик;Джастин Курзель
724;Марли и я;7.7*;2008;США;комедия;Дэвид Фрэнкел
725;Двадцать одно;7.7*;2008;США;драма;Роберт Лукетич
726;Путь;7.7*;2009;Россия;приключения, боевик;Владимир Пасичник
727;Ветреная река;7.7*;2017;США / Великобритания / Канада;триллер;Тейлор Шеридан
728;Под покровом ночи;7.7*;2016;США;триллер, драма;Том Форд
729;Порок на экспорт;7.7*;2007;Великобритания / Канада / США;драма, триллер;Дэвид Кроненберг
730;"Пароль ""Рыба-меч""";7.7*;2001;США / Австралия;триллер, криминал;Доминик Сена
731;Не стучи дважды;7.7*;2016;Великобритания;ужасы;Карадог В. Джеймс
732;Пленницы;7.7*;2013;США;триллер, драма;Дени Вильнев
733;Лолита;7.7*;1997;США / Франция;мелодрама, драма;Эдриан Лайн
734;Лес призраков;7.7*;2016;США;ужасы, триллер;Джейсон Зада
735;Святые из Бундока;7.7*;1999;США / Канада;криминал, триллер;Трой Даффи
736;Зорро;7.7*;1975;Франция / Италия;комедия, семейный;Дуччо Тессари
737;Паранойя;7.7*;2013;США / Франция;триллер, драма;Роберт Лукетич
738;Затерянные во льдах;7.7*;2018;Исландия;драма;Джо Пенна
739;Между ангелом и бесом;7.7*;1995;Франция;боевик, комедия;Жан-Мари Пуаре
740;Власть огня;7.7*;2002;Великобритания / Ирландия / США;триллер, боевик;Роб Бауман
741;Сид и Нэнси;7.7*;1986;Великобритания;драма, биография;Алекс Кокс
742;Жизнь этого парня;7.7*;1993;США;драма, биография;Майкл Кейтон-Джонс
743;Хозяин морей: На краю Земли;7.7*;2003;США;приключения, драма;Питер Уир
744;Малыши;7.7*;2010;Франция;документальный, семейный;Томас Бальмес
745;Шпион, выйди вон!;7.7*;2011;Франция / Великобритания;триллер;Томас Альфредсон
746;Праздник святого Йоргена;7.7*;1930;СССР;комедия;Яков Протазанов
747;Соль Земли;7.7*;2014;Франция / Италия / Бразилия;документальный, биография;Джулиано Рибейро Сальгадо
748;Таинственная река;7.7*;2003;США;драма, мистика;Клинт Иствуд
749;21 грамм;7.7*;2003;США;драма;Алехандро Гонсалес Иньярриту
750;Девушка на мосту;7.7*;1999;Франция;драма, мелодрама;Патрис Леконт
751;Пять сантиметров в секунду;7.7*;2007;Япония;драма, анимация;Макото Синкай
752;Пещера забытых снов 3D;7.7*;2011;США;документальный, исторический;Вернер Херцог
753;Пеле: Рождение легенды;7.7*;2016;США;биография, спорт;Джефф Цимбалист
754;Дело Коллини;7.7*;2019;Германия;драма, криминал;Марко Кройцпайнтнер
755;Знакомство с Факерами 2;7.7*;2010;США;комедия;Пол Вайц
756;Невероятный Халк;7.7*;2008;США;боевик;Луи Летерье
757;Одинокий рейнджер;7.7*;2013;США;триллер, боевик;Гор Вербински
758;Джек Ричер;7.7*;2012;США;триллер, детектив;Кристофер МакКуорри
759;Ничего хорошего в отеле «Эль Рояль»;7.7*;2018;США;триллер;Дрю Годдард
760;Призрачный гонщик;7.7*;2007;США;триллер, боевик;Марк Стивен Джонсон
761;Бой с тенью 2: Реванш;7.7*;2007;Россия;спорт, боевик;Антон Мегердичев
762;13;7.7*;2010;США;драма, триллер;Гела Баблуани
763;Мэри и ведьмин цветок;7.7*;2017;Япония;анимация, приключения;Хиромаса Ёнэбаяси
764;Рэмбо IV;7.7*;2007;США;триллер, боевик;Сильвестр Сталлоне
765;Лето. Одноклассники. Любовь;7.7*;2012;США;комедия;Лиза Азуэлос
766;Санктум;7.7*;2011;США;триллер, драма;Алистер Грирсон
767;22 пули. Бессмертный;7.7*;2010;Франция;криминал;Ришар Берри
768;Воздушный маршал;7.7*;2013;США;триллер, боевик;Хауме Кольет-Серра
769;Заклятие 2;7.7*;2016;США;ужасы;Джеймс Ван
770;Знамение;7.7*;2009;США;мистика, триллер;Алекс Пройас
771;Ниндзя-убийца;7.7*;2009;США;боевик;Джеймс МакТиг
772;Гран Торино;7.7*;2008;США;драма;Клинт Иствуд
773;Мюнхен: Возмездие;7.7*;2005;США;драма, триллер;Стивен Спилберг
774;Бьютифул;7.7*;2010;Испания / Мексика;драма;Алехандро Гонсалес Иньярриту
775;2001 год: Космическая одиссея;7.7*;1968;США / Великобритания;фантастика, приключения;Стэнли Кубрик
776;Небесный замок Лапута;7.7*;1986;Япония;сказка, анимация;Хаяо Миядзаки
777;Двойной форсаж;7.7*;2003;США / Германия;боевик, триллер;Джон Синглтон
778;Судный день;7.7*;2008;Великобритания;драма, триллер;Нил Маршалл
779;Далласский клуб покупателей;7.7*;2013;США;драма;Жан-Марк Валле
780;Пила 8;7.7*;2017;США / Канада;ужасы, триллер;Майкл Спириг
781;Миссия: Невыполнима 3;7.7*;2006;Германия / США;триллер, боевик;Джей Джей Абрамс
782;Джейн Остин;7.7*;2007;США / Великобритания / Ирландия;биография, драма;Джулиан Джаррольд
783;Прости за любовь;7.7*;2008;Италия;мелодрама;Федерико Мочча
784;Выкрутасы;7.7*;2010;Россия;мелодрама, комедия;Лео Габриадзе
785;Город грехов;7.7*;2005;США;криминал, триллер;Фрэнк Миллер
786;Копы в глубоком запасе;7.7*;2010;США;комедия, боевик;Адам МакКей
787;Перевозчик 3;7.7*;2009;Франция;боевик;Оливье Мегатон
788;Паркер;7.7*;2013;США;криминал, триллер;Тэйлор Хэкфорд
789;Союзники;7.7*;2016;США;триллер;Роберт Земекис
790;Машинист;7.7*;2004;Испания;мистика, драма;Брэд Андерсон
791;Мэри и Макс;7.7*;2009;Австралия;анимация;Адам Эллиот
792;Сибирь, Мон амур;7.7*;2011;Россия;драма;Вячеслав Росс
793;Месть от кутюр;7.7*;2015;Австралия;драма;Джослин Мурхаус
794;Метро;7.6*;2013;Россия;боевик, драма;Антон Мегердичев
795;Альфа Дог;7.6*;2006;США;криминал, драма;Ник Кассаветис
796;Отверженные;7.6*;2012;Великобритания;мюзикл, драма;Том Хупер
797;Миссия невыполнима: Племя изгоев;7.6*;2015;США;приключения, боевик;Кристофер МакКуорри
798;Mamma Mia 2;7.6*;2018;США;мюзикл;Ол Паркер
799;Союз спасения;7.6*;2019;Россия;драма, исторический;Андрей Кравчук
800;Шаг вперед 2: улицы;7.6*;2008;США;мелодрама, драма;Джон Чу
801;Пила: игра на выживание;7.6*;2004;США;ужасы, триллер;Джеймс Ван
802;Путь воина;7.6*;2009;Корея / Новая Зеландия;боевик, приключения;Ли Сунмо
803;Рок на века;7.6*;2012;США;мюзикл;Адам Шенкман
804;Свет в океане;7.6*;2016;США / Новая Зеландия;драма;Дерек Сиенфрэнс
805;Она;7.6*;2016;Франция / Германия / Бельгия;триллер, драма;Пол Верховен
806;Я, Дэниел Блэйк;7.6*;2016;Великобритания / Франция;драма;Кен Лоуч
807;Звонок мертвецу;7.6*;2018;Германия;ужасы, боевик;Кристиан Альварт
808;Вавилон;7.6*;2006;США / Мексика;триллер, драма;Алехандро Гонсалес Иньярриту
809;Тайна красной планеты 3D;7.6*;2011;США;анимация, семейный;Саймон Уэллс
810;Без меня;7.6*;2018;Россия;мелодрама;Кирилл Плетнев
811;В постели с врагом;7.6*;1991;США;драма, триллер;Джозеф Рубен
812;Американская дочь;7.6*;1995;Россия;комедия;Карен Шахназаров
813;Мать;7.6*;1926;СССР;драма;Всеволод Пудовкин
814;Стачка;7.6*;1924;СССР;;Сергей Эйзенштейн
815;Идеальный побег;7.6*;2009;США;триллер;Дэвид Туи
816;Девочка, покорившая время;7.6*;2006;Япония;фантастика, комедия;Мамору Хосода
817;Проповедник с пулеметом;7.6*;2011;США;боевик, биография;Марк Форстер
818;Скалолаз;7.6*;1993;США / Франция / Италия;триллер, приключения;Ренни Харлин
819;Несломленный;7.6*;2014;США;исторический, военный;Анджелина Джоли
820;Крепость: щитом и мечом;7.6*;2015;Россия;анимация, военный;Федор Дмитриев
821;Подарок;7.6*;2015;США;триллер, детектив;Джоэл Эдгертон
822;Альдабра: Путешествие к таинственному острову;7.6*;2016;Чехия;семейный, документальный;Стив Лихтаг
823;Неуловимые: Последний герой;7.6*;2015;Россия;триллер, криминал;Артем Аксененко
824;Сияние;7.6*;1980;Великобритания / США;триллер;Стэнли Кубрик
825;Чудо-женщина;7.6*;2017;США;боевик, приключения;Пэтти Дженкинс
826;Росомаха: Бессмертный;7.6*;2013;США;приключения, боевик;Джеймс Мэнголд
827;Аноним;7.6*;2011;Германия / Великобритания;драма;Роланд Эммерих
828;Монгол. Часть первая;7.6*;2007;Казахстан / Россия / Германия;исторический, драма;Сергей Бодров
829;Тайная жизнь домашних животных;7.6*;2016;США;анимация, комедия;Крис Рено
830;Большие Мамочки. Сын как отец;7.6*;2011;США;комедия;Джон Уайтселл
831;Артур и война двух миров;7.6*;2010;Франция;сказка, анимация;Люк Бессон
832;Дыши во мгле;7.6*;2018;Франция;фантастика, драма;Дэниэл Роби
833;Жизнь в розовом цвете;7.6*;2007;Франция / Великобритания / Чехия;биография, драма;Оливье Даан
834;Need for speed: Жажда скорости;7.6*;2014;США;боевик, драма;Скотт Во
835;Империя волков;7.6*;2005;Франция;триллер, драма;Крис Наон
836;Дрейф;7.6*;2006;Германия;триллер;Ханс Хорн
837;Просто вместе;7.6*;2007;Франция;мелодрама, драма;Клод Берри
838;Ядовитый плющ;7.6*;1992;США;триллер, драма;Кэтт Ши
839;Океан;7.6*;2008;Россия / Куба;драма;Михаил Косырев-Нестеров
840;Генсбур. Любовь хулигана;7.6*;2010;Франция / США;драма, биография;Жоанн Сфар
841;Телескоп Хаббл IMAX 3D;7.6*;2010;Канада;документальный;Тони Майерс
842;13 убийц;7.6*;2010;Япония / Великобритания;боевик;Такаши Миике
843;Что-то не так с Кевином;7.6*;2011;США / Великобритания;триллер, драма;Линн Рэмси
844;Не угаснет надежда;7.6*;2013;США;драма, приключения;Джей Си Чендор
845;Каштанка;7.6*;1975;СССР;приключения;Роман Балаян
846;Простые сложности;7.6*;2009;США;мелодрама, комедия;Нэнси Мейерс
847;Головоломка;7.6*;2015;США;анимация;Пит Доктер
848;Американский психопат;7.6*;2000;США / Канада;ужасы, триллер;Мэри Хэррон
849;Гнездо жаворонка;7.6*;2007;Италия / Испания / Великобритания / Франция / Болгария;драма;Паоло Тавиани
850;Норвежский лес;7.6*;2010;Япония;драма;Чан Ань Хунг
851;Вверх;7.6*;2009;США;анимация, семейный;Пит Доктер
852;Джейн Эйр;7.6*;2011;Великобритания;мелодрама, драма;Кэри Фукунага
853;Волшебная страна;7.6*;2004;Великобритания / США;биография, семейный;Марк Форстер
854;Прекрасные создания;7.6*;2013;США;мистика, драма;Ричард ЛаГравенес
855;Прогулка среди могил;7.6*;2014;США;драма, криминал;Скотт Фрэнк
856;Большой кошачий побег;7.6*;2018;США;анимация;Гэри Ван
857;Еще одна из рода Болейн;7.6*;2008;Великобритания;драма, исторический;Джастин Чадвик
858;Анна Каренина;7.6*;2008;Россия;драма;Сергей Соловьев
859;Охотники на ведьм;7.6*;2012;США / Германия;комедия, боевик;Томми Виркола
860;Молодость;7.6*;2015;Италия / Франция / Швейцария / Великобритания;драма;Паоло Соррентино
861;Великолепная семерка;7.6*;2016;США;боевик, вестерн;Антуан Фукуа
862;Джонни Д;7.6*;2009;США;драма;Майкл Манн
863;Джастин Бибер: Никогда не говори никогда 3D;7.6*;2011;США;мюзикл;Джон Чу
864;Похороните меня за плинтусом;7.6*;2009;Россия;драма;Сергей Снежкин
865;Оверлорд;7.6*;2018;Великобритания;боевик;Джулиус Эйвери
866;Прошлой ночью в Нью-Йорке;7.6*;2010;США;драма, мелодрама;Мэсси Таджедин
867;Мой парень - псих;7.6*;2012;США;комедия, драма;Дэвид О. Расселл
868;Идентификация Борна;7.6*;2002;США / Германия / Чехия;триллер;Даг Лайман
869;Коммандос;7.6*;1985;США;боевик, приключения;Марк Л. Лестер
870;Заложница 2;7.6*;2012;Франция;триллер, драма;Оливье Мегатон
871;Похождения Императора;7.6*;2000;США;анимация, приключения;Марк Диндал
872;Спасительный рассвет;7.6*;2006;США;военный, боевик;Вернер Херцог
873;Непристойное предложение;7.6*;1993;США;мелодрама, драма;Эдриэн Лайн
874;Русалочка: начало истории Ариэль;7.6*;2008;США;анимация, семейный;Пегги Холмс
875;Майские звезды;7.6*;1959;СССР / Чехословакия;военный;Станислав Ростоцкий
876;7 дней и ночей с Мэрилин;7.6*;2011;Великобритания;драма;Саймон Кертис
877;Затащи меня в ад;7.6*;2009;США;триллер, ужасы;Сэм Рэйми
878;Не брать живым;7.6*;2009;США / Великобритания;драма, военный;Пол Гринграсс
879;Ван Гог. С любовью, Винсент;7.6*;2017;Великобритания / Польша;анимация, драма;Дорота Кобела
880;Не дыши;7.6*;2016;США;триллер;Федерико Альварес
881;Бегущий в лабиринте: Лекарство от смерти;7.6*;2018;США;фантастика, боевик;Уэс Болл
882;Бешеные псы;7.6*;1992;США;триллер;Квентин Тарантино
883;Паразиты;7.6*;2019;Корея;драма, триллер;Пон Чжун-хо
884;Фиксики. Большой секрет;7.6*;2017;Россия;анимация, детский;Андрей Колпин
885;Королевство;7.6*;2007;США;триллер, драма;Питер Берг
886;Горячие новости;7.6*;2009;Россия / Швеция;боевик;Андерс Банке
887;Секретная служба Санта Клауса;7.6*;2011;США / Великобритания;анимация;Сара Смит
888;Тихая застава;7.6*;2010;Россия;драма, военный;Сергей Маховиков
889;Rammstein: Paris!;7.6*;2016;Германия;мюзикл;Йонас Окерлунд
890;Артур и месть Урдалака;7.6*;2009;Франция;сказка, семейный;Люк Бессон
891;Как выйти замуж за миллиардера;7.6*;2010;Великобритания;комедия;Фил Трэйл
892;Капитан Филлипс;7.6*;2013;США;драма;Пол Гринграсс
893;Иван Царевич и Серый Волк;7.6*;2011;Россия;комедия, анимация;Владимир Торопчин
894;Сезон охоты 3;7.6*;2010;США;детский, анимация;Коуди Камерон
895;Город грехов 2: Женщина, ради которой стоит убивать;7.6*;2014;США;драма, криминал;Фрэнк Миллер
896;Любовь и другие лекарства;7.6*;2010;США;мелодрама, комедия;Эдвард Цвик
897;Пролетая над гнездом кукушки;7.6*;1975;США;драма;Милош Форман
898;Иллюзионист;7.6*;2006;США / Чехия;драма, мелодрама;Нил Бергер
899;Легенды осени;7.6*;1994;США;драма, военный;Эдвард Цвик
900;Сатисфакция;7.6*;2010;Россия;драма;Анна Матисон
901;Перси Джексон и море чудовищ;7.6*;2013;США;приключения, семейный;Тор Фреденталь
902;Затура: космическое приключение;7.6*;2005;США;приключения, фантастика;Джон Фавро
903;Танцующая в темноте;7.6*;2000;Дания / Германия / Нидерланды / США / Великобритания / Франция / Швеция / Финляндия / Исландия / Норвегия;мюзикл, драма;Ларс фон Триер
